SYSTEM_TIME_time_unix_usec,SYSTEM_TIME_millis,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU1_mx,IMU1_my,IMU1_mz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU2_mx,IMU2_my,IMU2_mz,ATTITUDE_roll_rate,ATTITUDE_pitch_rate,ATTITUDE_yaw_rate,ATTITUDE_roll,ATTITUDE_pitch,ATTITUDE_yaw,INS_x,INS_y,INS_z,INS_vx,INS_vy,INS_vz,GPS_lat,GPS_lon,GPS_alt,GPS_relative_alt,GPS_vx,GPS_vy,GPS_vz,GPS_hdg,GPS_RAW_INT_speed,GPS_RAW_INT_latitude,GPS_RAW_INT_longitude,GPS_RAW_INT_altitude,GPS_RAW_INT_course,GPS_RAW_INT_hdop,GPS_RAW_INT_vdop,GPS_RAW_INT_fix,GPS_RAW_INT_sat_view,VFR_HUD_airspeed,VFR_HUD_groundspeed,VFR_HUD_heading,VFR_HUD_throttle,VFR_HUD_barometer,VFR_HUD_climb,SCALED_PRESSURE_press_abs,SCALED_PRESSURE_press_diff,SCALED_PRESSURE_temp,NAV_CTRL_OUT_desired_roll,NAV_CTRL_OUT_desired_pitch,NAV_CTRL_OUT_desired_heading,NAV_CTRL_OUT_target_bearing,NAV_CTRL_OUT_wp_dist,NAV_CTRL_OUT_alt_error,NAV_CTRL_OUT_aspd_error,NAV_CTRL_OUT_xtrack_error,GPS_STATUS_satellite_snr
2016-11-06 19:01:57.960000,1478466117960000,191,-67,-945,-2,1,4,147,151,-339,244,0,-968,-2,1,4,147,151,-339,-0.12336923800651073,0.0383749242638274,0.07593691594418445,0.09445897491065743,14.209494813443262,-89.93547770738905,0.04381687194108963,0.037818022072315216,0.02606671303510666,0.028421960771083832,0.036180831491947174,0.1243228167295456,-226071010,-434066882,10340,-30,0,0,0,27007,0,-226071013,-434066885,10380,0,121,200,3,10,0.026995552703738213,0.0,270,38,10.319999694824219,0.1700219362974167,1012.007568359375,0.008593750186264515,2992,0.0,4.0,-89,-89,0,50.04999923706055,1597.3004150390625,0.0,
2016-11-06 19:01:58.460000,1478466118460000,648,79,-826,-9,2,33,148,151,-339,700,7,-850,-8,2,33,148,151,-339,-0.4765881353644228,0.07880157332130316,1.4997223518628595,0.030643353561624613,14.222765017226951,-89.58095673851955,0.03629123046994209,-0.2692270874977112,0.09552767872810364,-0.008289502933621407,-1.4586875438690186,0.11768725514411926,-226071010,-434066911,10270,-99,0,-91,0,27046,91,-226071013,-434066885,10380,27000,121,200,3,10,0.026995552703738213,0.3400000035762787,270,88,10.270000457763672,-0.369092732667923,1012.0265502929688,0.027578124776482582,2993,0.0,4.0,-89,-89,0,50.099998474121094,1597.3004150390625,0.0,
2016-11-06 19:01:58.960000,1478466118960000,731,-57,-811,-17,1,71,152,150,-338,742,25,-839,-17,1,71,152,150,-338,-0.9354525701628972,0.052025771021505296,3.597332569798778,-0.006038801030897025,14.182000740713022,-88.24607139732142,0.028275219723582268,-1.0291799306869507,0.13842715322971344,0.03444080427289009,-3.1009485721588135,0.13337890803813934,-226071011,-434066985,10230,-140,0,-170,0,27120,266,-226071013,-434066963,10380,27043,121,200,3,10,1.8636481761932373,2.6600749492645264,271,100,10.210000038146973,0.3656751811504364,1012.0107421875,0.011796874925494194,2992,0.0,4.0,-88,-88,1,50.16999816894531,1349.79833984375,0.0,
2016-11-06 19:01:59.460000,1478466119460000,751,77,-790,-17,1,76,157,147,-336,725,26,-843,-17,1,76,157,147,-336,-0.93554104245699,0.04976545531885379,3.7853920101981475,-0.004314457159301493,14.130144236986993,-86.52512327366667,0.1053994670510292,-4.191522598266602,0.21613748371601105,0.2866179645061493,-6.314310550689697,0.12164567410945892,-226071004,-434067292,10150,-220,13,-469,0,27384,568,-226071013,-434067230,10380,27241,121,200,3,10,3.9381237030029297,4.69180154800415,273,100,10.149999618530273,0.6698349714279175,1012.018310546875,0.019375000149011612,2992,0.0,4.0,-85,-85,4,50.21999740600586,1119.1458740234375,0.0,
2016-11-06 19:01:59.700000,1478466119700000,737,-38,-856,-99,-5,53,160,148,-334,720,5,-858,-99,-4,53,160,148,-334,-1.321688668669717,0.16599272669707119,4.356116640828889,-0.009185250402025048,14.106214669229853,-85.39880458896405,0.19302454590797424,-5.910816669464111,0.22045579552650452,0.4143696129322052,-7.465832233428955,0.06727747619152069,-226070996,-434067460,10140,-229,34,-666,0,27498,666,-226070995,-434067344,10380,27292,121,200,3,10,5.25930643081665,5.685067653656006,274,100,10.140000343322754,-0.8885564804077148,1012.0249633789062,0.026015624403953552,2993,0.0,4.0,-84,-84,6,50.21999740600586,973.0907592773438,0.0,
2016-11-06 19:01:59.940000,1478466119940000,615,80,-922,-138,-119,-19,157,157,-332,685,50,-1030,-138,-119,-19,157,157,-332,-7.571884534626313,-2.0075870440146812,2.1116214972445535,-0.8407231824601094,14.05134349075891,-84.4687855410076,0.3146159052848816,-7.9007368087768555,0.2046394944190979,0.5462751984596252,-8.598369598388672,-0.11372758448123932,-226070985,-434067653,10160,-210,45,-762,1,27567,763,-226070995,-434067497,10380,27345,121,200,3,10,6.269092559814453,6.668673038482666,275,100,10.149999618530273,0.22555667161941528,1011.9808959960938,-0.018046874552965164,2992,0.0,5.429999828338623,-84,-84,8,50.20000076293945,871.1571044921875,0.0,
2016-11-06 19:02:00.180000,1478466120180000,599,80,-966,-71,-140,-79,146,166,-332,632,19,-951,-71,-140,-79,146,166,-332,-6.628170103610345,-8.012639203088174,-3.0213337524683173,-2.7881653949126566,12.692040223277992,-84.41753180147583,0.46985769271850586,-10.149988174438477,0.12873387336730957,0.6887255907058716,-9.59781265258789,-0.4110037684440613,-226070971,-434067872,10240,-130,56,-855,11,27534,856,-226070976,-434067649,10390,27374,121,200,3,10,7.7794575691223145,8.568319320678711,275,100,10.199999809265137,0.3246648609638214,1012.009765625,0.010781249962747097,2992,0.0,6.96999979019165,-84,-84,10,50.119998931884766,774.6135864257812,0.0,
2016-11-06 19:02:00.420000,1478466120420000,632,36,-881,-6,-70,-145,129,175,-335,591,58,-978,-6,-70,-145,129,175,-335,-2.868615631825298,-7.447567407769265,-5.486542830543618,-4.121930798530308,10.619807786646668,-85.30378982742,0.6422972083091736,-12.640965461730957,-0.0013226503506302834,0.7063562273979187,-10.623770713806152,-0.5751796960830688,-226070956,-434068115,10370,0,66,-938,44,27421,1026,-226070976,-434067992,10550,27368,121,200,3,10,8.830586433410645,9.413166046142578,274,100,10.319999694824219,0.4101030230522156,1011.9444580078125,-0.05453125014901161,2992,0.0,9.469999313354492,-86,-86,13,49.95000076293945,617.6006469726562,0.0,
2016-11-06 19:02:00.660000,1478466120660000,599,67,-1063,19,25,-197,120,179,-336,579,40,-1037,20,25,-197,120,179,-336,0.45800212341576024,-2.6475843069813387,-9.796612043535573,-4.660984268866524,9.257137235904933,-86.17406521070636,0.819433867931366,-15.381596565246582,-0.17474177479743958,0.7095186710357666,-11.715770721435547,-0.7571249604225159,-226070940,-434068381,10540,170,66,-1024,58,27299,1110,-226070957,-434068222,10680,27351,121,200,3,10,9.823993682861328,10.261247634887695,273,100,10.479999542236328,0.4066855311393738,1011.92919921875,-0.0697656199336052,2992,0.0,11.219999313354492,-87,-87,15,49.79999923706055,505.1722412109375,0.0,
2016-11-06 19:02:00.900000,1478466120900000,535,-69,-1162,16,96,-155,116,184,-335,571,0,-1122,17,96,-155,116,184,-335,1.1599945055185374,2.586218045496536,-11.31050298250139,-4.843168039032389,9.074790821859457,-88.8410560061104,0.9802939295768738,-18.36927032470703,-0.4083362817764282,0.6195615530014038,-12.683835983276367,-1.0627827644348145,-226070925,-434068672,10770,399,66,-1191,81,27025,1192,-226070937,-434068449,10830,27321,121,200,3,10,11.450423240661621,11.100846290588379,271,100,10.6899995803833,1.2431247234344482,1011.9048461914062,-0.09414062649011612,2992,0.0,12.739999771118164,-90,-90,19,49.46999740600586,379.3056640625,0.0,
